user_id,feature,used_at
271,Get Paid Early,2024-11-01
161,Auto Save,2024-11-27
178,Get Paid Early,2024-10-04
161,Get Paid Early,2025-04-20
419,Overdraft Alerts,2024-11-27
706,Overdraft Alerts,2024-10-19
299,Get Paid Early,2025-07-02
238,Round Up,2024-11-01
724,Round Up,2024-12-21
720,Overdraft Alerts,2025-03-21
73,Auto Save,2025-06-18
947,Round Up,2025-04-11
807,Auto Save,2024-08-11
436,Get Paid Early,2025-05-15
558,Auto Save,2025-03-08
664,Auto Save,2025-04-18
931,Round Up,2024-10-13
847,Auto Save,2025-03-22
74,Get Paid Early,2025-07-01
170,Round Up,2025-02-17
610,Round Up,2024-11-09
450,Get Paid Early,2025-02-09
480,Round Up,2024-12-03
717,Overdraft Alerts,2025-03-17
966,Round Up,2025-07-17
513,Overdraft Alerts,2025-05-30
449,Get Paid Early,2024-10-16
613,Get Paid Early,2025-04-29
911,Overdraft Alerts,2024-12-22
753,Round Up,2024-08-30
619,Round Up,2024-09-06
27,Get Paid Early,2024-10-16
235,Get Paid Early,2025-01-28
784,Round Up,2024-09-28
591,Get Paid Early,2024-12-27
782,Auto Save,2025-06-12
482,Overdraft Alerts,2024-11-04
939,Round Up,2024-08-27
186,Overdraft Alerts,2025-04-14
651,Overdraft Alerts,2024-10-22
993,Get Paid Early,2025-04-19
482,Round Up,2025-01-06
419,Round Up,2025-01-08
329,Get Paid Early,2024-11-17
879,Auto Save,2025-06-25
338,Overdraft Alerts,2025-04-30
711,Overdraft Alerts,2025-03-04
296,Overdraft Alerts,2024-08-14
834,Get Paid Early,2025-01-09
466,Get Paid Early,2025-01-09
323,Round Up,2025-06-13
332,Get Paid Early,2025-07-31
994,Overdraft Alerts,2024-11-22
886,Get Paid Early,2025-07-14
674,Overdraft Alerts,2024-08-25
424,Get Paid Early,2024-10-02
193,Round Up,2025-07-02
638,Overdraft Alerts,2025-03-13
641,Overdraft Alerts,2024-11-26
779,Get Paid Early,2025-04-15
209,Round Up,2024-11-20
563,Auto Save,2025-07-24
950,Round Up,2025-04-23
449,Overdraft Alerts,2025-01-15
125,Get Paid Early,2024-11-12
997,Auto Save,2024-08-20
727,Auto Save,2025-02-13
319,Get Paid Early,2025-03-27
566,Overdraft Alerts,2024-11-23
96,Auto Save,2024-11-01
862,Get Paid Early,2024-10-28
473,Get Paid Early,2024-08-09
664,Auto Save,2025-01-03
511,Round Up,2024-09-07
522,Round Up,2025-03-26
426,Overdraft Alerts,2025-05-01
484,Auto Save,2025-07-29
468,Auto Save,2024-10-28
393,Auto Save,2025-06-22
944,Auto Save,2025-01-15
885,Get Paid Early,2025-04-22
283,Overdraft Alerts,2025-01-24
349,Round Up,2025-04-22
841,Get Paid Early,2024-11-16
290,Round Up,2025-08-02
858,Overdraft Alerts,2024-09-30
887,Auto Save,2025-02-26
458,Overdraft Alerts,2025-04-21
354,Round Up,2024-09-23
566,Overdraft Alerts,2025-05-27
467,Round Up,2024-08-27
891,Auto Save,2024-12-16
715,Auto Save,2025-06-26
586,Overdraft Alerts,2024-08-17
240,Overdraft Alerts,2025-03-10
45,Round Up,2025-02-14
763,Overdraft Alerts,2025-05-22
723,Overdraft Alerts,2025-03-11
396,Auto Save,2024-12-14
508,Get Paid Early,2024-09-07
130,Round Up,2025-02-12
891,Get Paid Early,2024-12-29
896,Overdraft Alerts,2025-01-15
103,Overdraft Alerts,2024-10-16
16,Auto Save,2025-06-08
420,Auto Save,2025-03-25
77,Overdraft Alerts,2025-05-25
801,Round Up,2025-05-05
347,Overdraft Alerts,2025-02-20
666,Get Paid Early,2025-05-18
873,Round Up,2025-05-01
873,Overdraft Alerts,2025-06-11
978,Round Up,2024-09-19
642,Overdraft Alerts,2024-09-05
894,Get Paid Early,2025-04-13
633,Get Paid Early,2025-07-25
241,Round Up,2025-07-16
233,Get Paid Early,2025-05-03
445,Get Paid Early,2025-06-23
779,Get Paid Early,2024-12-11
455,Auto Save,2024-10-06
711,Round Up,2024-11-11
926,Get Paid Early,2025-02-15
48,Round Up,2025-06-20
816,Get Paid Early,2024-09-26
301,Round Up,2024-12-15
384,Overdraft Alerts,2024-11-10
150,Auto Save,2025-06-26
544,Overdraft Alerts,2024-11-11
580,Auto Save,2024-08-08
175,Auto Save,2025-04-30
81,Overdraft Alerts,2024-11-30
635,Auto Save,2024-12-16
510,Auto Save,2024-08-07
238,Overdraft Alerts,2025-04-03
654,Round Up,2025-02-25
471,Round Up,2025-01-04
683,Get Paid Early,2024-10-22
921,Overdraft Alerts,2024-12-07
923,Round Up,2025-02-27
694,Auto Save,2024-08-11
76,Overdraft Alerts,2025-01-12
968,Round Up,2024-09-05
602,Round Up,2024-11-30
655,Overdraft Alerts,2025-06-06
707,Round Up,2024-10-20
468,Round Up,2025-02-08
204,Overdraft Alerts,2024-10-29
874,Overdraft Alerts,2024-12-04
110,Auto Save,2024-09-24
391,Round Up,2025-03-07
589,Round Up,2024-12-14
717,Round Up,2024-10-23
23,Overdraft Alerts,2025-04-08
282,Get Paid Early,2024-10-01
580,Get Paid Early,2024-10-20
933,Overdraft Alerts,2025-01-28
853,Round Up,2025-04-07
795,Auto Save,2025-01-30
622,Round Up,2025-02-17
225,Auto Save,2024-09-17
636,Round Up,2025-05-15
695,Auto Save,2025-02-09
644,Get Paid Early,2025-02-04
926,Get Paid Early,2024-09-07
317,Overdraft Alerts,2025-06-15
35,Round Up,2024-12-21
750,Auto Save,2025-02-14
93,Round Up,2025-04-16
335,Overdraft Alerts,2024-08-14
180,Auto Save,2024-11-09
136,Round Up,2024-10-22
544,Round Up,2024-09-01
851,Auto Save,2025-01-02
264,Overdraft Alerts,2024-10-14
991,Round Up,2025-06-16
765,Round Up,2024-10-01
824,Get Paid Early,2024-11-28
480,Get Paid Early,2024-08-25
145,Auto Save,2025-07-02
881,Overdraft Alerts,2025-02-15
991,Round Up,2025-01-12
93,Overdraft Alerts,2025-04-26
15,Round Up,2025-06-25
550,Get Paid Early,2025-05-18
466,Round Up,2025-06-20
689,Round Up,2025-02-18
599,Overdraft Alerts,2025-06-11
843,Round Up,2024-09-22
111,Auto Save,2025-01-31
483,Get Paid Early,2025-07-01
635,Round Up,2025-07-16
938,Auto Save,2025-03-23
664,Get Paid Early,2025-03-21
651,Overdraft Alerts,2025-07-25
932,Round Up,2025-07-13
665,Overdraft Alerts,2025-02-25
120,Auto Save,2024-11-20
47,Get Paid Early,2024-09-13
312,Overdraft Alerts,2025-04-02
119,Get Paid Early,2025-04-26
241,Auto Save,2025-07-08
398,Overdraft Alerts,2024-08-28
380,Overdraft Alerts,2025-01-25
602,Auto Save,2025-06-07
907,Overdraft Alerts,2024-12-26
671,Get Paid Early,2024-08-18
854,Overdraft Alerts,2025-01-20
631,Overdraft Alerts,2025-01-31
962,Round Up,2024-12-13
34,Round Up,2025-05-22
223,Overdraft Alerts,2025-07-19
456,Auto Save,2025-03-27
876,Round Up,2025-03-29
102,Round Up,2024-08-22
558,Round Up,2024-11-25
63,Overdraft Alerts,2024-11-22
283,Auto Save,2024-12-19
992,Get Paid Early,2024-10-19
972,Overdraft Alerts,2024-11-13
94,Auto Save,2024-10-22
658,Get Paid Early,2025-01-04
52,Round Up,2025-04-05
250,Auto Save,2025-04-30
806,Auto Save,2024-08-22
71,Auto Save,2025-02-04
601,Auto Save,2024-08-31
833,Auto Save,2025-05-11
337,Auto Save,2025-06-12
808,Get Paid Early,2025-04-07
284,Auto Save,2024-08-14
134,Round Up,2024-09-28
818,Auto Save,2024-09-12
113,Get Paid Early,2024-09-24
135,Get Paid Early,2025-06-03
367,Auto Save,2024-10-04
603,Round Up,2025-05-02
17,Auto Save,2025-03-19
272,Get Paid Early,2025-06-06
130,Overdraft Alerts,2025-07-19
539,Get Paid Early,2025-04-20
764,Get Paid Early,2024-08-16
488,Overdraft Alerts,2024-08-12
797,Round Up,2025-03-01
526,Get Paid Early,2025-01-20
463,Auto Save,2025-06-07
969,Get Paid Early,2025-05-08
745,Round Up,2025-05-26
470,Get Paid Early,2025-05-13
63,Overdraft Alerts,2024-09-07
868,Overdraft Alerts,2025-02-28
437,Get Paid Early,2024-12-09
503,Overdraft Alerts,2025-01-31
76,Get Paid Early,2024-10-20
330,Auto Save,2024-09-27
68,Auto Save,2024-11-17
282,Round Up,2025-01-13
391,Round Up,2025-03-18
465,Overdraft Alerts,2024-10-22
102,Get Paid Early,2024-11-14
874,Auto Save,2024-12-10
441,Overdraft Alerts,2024-11-21
910,Auto Save,2024-08-26
424,Round Up,2025-06-16
848,Overdraft Alerts,2024-10-29
409,Overdraft Alerts,2025-05-12
748,Get Paid Early,2024-10-28
321,Overdraft Alerts,2024-11-07
321,Round Up,2025-07-03
384,Auto Save,2025-01-18
704,Overdraft Alerts,2024-09-11
69,Get Paid Early,2025-02-28
852,Get Paid Early,2024-09-28
96,Overdraft Alerts,2025-04-05
99,Round Up,2024-12-04
832,Auto Save,2025-01-19
570,Get Paid Early,2025-01-20
601,Round Up,2025-07-23
687,Get Paid Early,2025-05-26
421,Round Up,2024-08-22
895,Overdraft Alerts,2025-02-08
889,Get Paid Early,2025-05-03
992,Round Up,2024-09-14
615,Round Up,2024-10-21
361,Get Paid Early,2025-07-24
592,Auto Save,2024-09-20
159,Overdraft Alerts,2024-08-10
230,Get Paid Early,2024-11-02
359,Round Up,2025-05-24
118,Round Up,2025-01-22
588,Auto Save,2024-08-10
827,Overdraft Alerts,2025-04-17
866,Get Paid Early,2025-06-10
624,Round Up,2024-12-05
30,Auto Save,2025-05-27
280,Round Up,2024-11-18
944,Round Up,2025-01-07
360,Get Paid Early,2024-09-11
186,Auto Save,2025-02-05
580,Overdraft Alerts,2024-08-23
72,Auto Save,2025-06-26
759,Get Paid Early,2025-04-16
94,Auto Save,2025-02-21
386,Overdraft Alerts,2025-05-31
465,Round Up,2025-05-27
162,Round Up,2025-05-02
320,Round Up,2025-01-06
796,Get Paid Early,2025-01-24
905,Get Paid Early,2025-06-12
160,Auto Save,2024-10-22
773,Get Paid Early,2024-08-26
691,Get Paid Early,2025-05-28
279,Overdraft Alerts,2025-03-19
678,Overdraft Alerts,2025-07-10
498,Overdraft Alerts,2025-03-05
425,Round Up,2025-03-23
221,Get Paid Early,2025-01-17
354,Overdraft Alerts,2025-03-10
114,Round Up,2025-03-24
695,Overdraft Alerts,2024-10-07
540,Round Up,2025-07-02
47,Auto Save,2024-12-13
405,Get Paid Early,2024-11-20
8,Auto Save,2025-06-30
309,Auto Save,2024-10-29
786,Auto Save,2025-05-10
783,Round Up,2024-09-11
297,Round Up,2025-06-12
123,Get Paid Early,2024-09-28
510,Overdraft Alerts,2024-11-30
180,Auto Save,2024-09-19
390,Auto Save,2025-01-16
513,Round Up,2025-03-29
74,Overdraft Alerts,2025-08-03
883,Get Paid Early,2025-05-10
447,Get Paid Early,2024-12-22
471,Get Paid Early,2024-12-12
883,Round Up,2025-01-16
590,Overdraft Alerts,2025-06-21
588,Overdraft Alerts,2025-04-04
727,Overdraft Alerts,2025-02-14
297,Get Paid Early,2025-01-22
415,Get Paid Early,2025-04-23
990,Round Up,2024-11-09
176,Overdraft Alerts,2024-12-03
852,Round Up,2024-08-23
91,Overdraft Alerts,2025-06-11
865,Get Paid Early,2025-01-26
250,Overdraft Alerts,2024-08-23
604,Overdraft Alerts,2025-01-08
537,Get Paid Early,2025-02-07
406,Round Up,2025-06-19
764,Round Up,2025-06-19
227,Round Up,2025-06-14
798,Auto Save,2025-03-09
79,Get Paid Early,2025-04-21
544,Auto Save,2025-06-05
928,Round Up,2024-12-24
360,Auto Save,2024-09-12
242,Get Paid Early,2024-11-14
150,Round Up,2025-02-06
203,Auto Save,2024-10-21
617,Auto Save,2025-04-22
779,Get Paid Early,2024-12-21
182,Overdraft Alerts,2024-09-26
476,Overdraft Alerts,2025-01-01
698,Round Up,2025-02-27
885,Round Up,2025-05-27
155,Overdraft Alerts,2025-01-24
70,Overdraft Alerts,2025-03-09
453,Round Up,2025-01-08
816,Round Up,2025-01-15
606,Get Paid Early,2025-01-08
361,Get Paid Early,2024-09-10
318,Overdraft Alerts,2025-01-29
463,Get Paid Early,2025-07-08
59,Round Up,2025-02-26
852,Round Up,2025-01-17
79,Get Paid Early,2025-04-03
630,Overdraft Alerts,2025-06-02
474,Get Paid Early,2025-05-05
461,Auto Save,2025-05-02
330,Overdraft Alerts,2025-06-17
514,Auto Save,2025-06-21
981,Get Paid Early,2025-02-27
462,Get Paid Early,2025-05-11
831,Round Up,2024-08-10
732,Get Paid Early,2025-05-20
517,Auto Save,2024-12-28
41,Auto Save,2025-07-28
725,Overdraft Alerts,2025-02-19
450,Auto Save,2025-02-04
373,Round Up,2025-06-14
940,Round Up,2025-04-12
397,Overdraft Alerts,2024-08-16
794,Round Up,2024-09-24
696,Get Paid Early,2024-10-18
809,Round Up,2024-10-07
68,Round Up,2024-12-01
97,Overdraft Alerts,2024-09-13
291,Round Up,2024-10-29
742,Auto Save,2024-09-23
342,Get Paid Early,2025-06-10
597,Auto Save,2025-07-23
939,Round Up,2025-07-24
318,Overdraft Alerts,2024-09-23
133,Get Paid Early,2025-04-20
318,Overdraft Alerts,2024-09-16
659,Round Up,2025-01-25
833,Auto Save,2024-08-31
